Date,Campaign_ID,Campaign,Primary_channel_group,Source,Total_users,Sessions,Ads_impressions,Ads_clicks,Ads_cost,Return_on_ad_spend,Ads_CTR
2025-05-08,120225882364500415,120225882364500415,Paid Social,facebook,1,1,0,0,0.0,0.0,0.0
2025-05-08,21938652714,(not set),Display,google,0,0,10,0,0.0,0.0,0.0
2025-05-07,(not set),(organic),Organic Search,google,6,6,0,0,0.0,0.0,0.0
2025-05-07,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,3,3,0,0,0.0,0.0,0.0
2025-05-07,(not set),(not set),Unassigned,chatgpt.com,2,3,0,0,0.0,0.0,0.0
2025-05-07,(not set),(referral),Referral,bestcouponhub.com,1,1,0,0,0.0,0.0,0.0
2025-05-07,21964277743,Google_Shopping_Padel,Paid Shopping,google,1,1,2415,13,4.77,35.8469601677148,0.005383022774327122
2025-05-07,21964162006,(not set),Cross-network,google,0,0,2015,17,12.982535,0.0,0.008436724565756825
2025-05-07,22354251261,(not set),Cross-network,google,0,0,73,1,2.985247,0.0,0.0136986301369863
2025-05-06,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,2,2,0,0,0.0,0.0,0.0
2025-05-06,120225420480610415,120225420480610415,Paid Social,facebook,1,1,0,0,0.0,0.0,0.0
2025-05-06,120225882364500415,120225882364500415,Paid Social,facebook,1,1,0,0,0.0,0.0,0.0
2025-05-06,21964277743,Google_Shopping_Padel,Paid Shopping,google,1,1,2418,11,4.52,0.0,0.004549214226633582
2025-05-06,21938652714,(not set),Display,google,0,0,4,0,0.0,0.0,0.0
2025-05-06,21964162006,(not set),Cross-network,google,0,0,664,5,2.898796,0.0,0.007530120481927711
2025-05-06,22377170377,(not set),Cross-network,google,0,0,82,3,2.700731,0.0,0.036585365853658534
2025-05-06,22377183748,(not set),Cross-network,google,0,0,359,2,0.238565,0.0,0.005571030640668524
2025-05-05,(not set),(direct),Direct,(direct),3,3,0,0,0.0,0.0,0.0
2025-05-05,120225882364500415,120225882364500415,Paid Social,facebook,2,2,0,0,0.0,0.0,0.0
2025-05-05,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,2,2,4405,27,7.885612,0.0,0.0061293984108967085
2025-05-05,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,2,2,0,0,0.0,0.0,0.0
2025-05-05,(not set),(not set),Unassigned,(not set),1,1,0,0,0.0,0.0,0.0
2025-05-05,(not set),(not set),Unassigned,chatgpt.com,1,1,0,0,0.0,0.0,0.0
2025-05-05,21964162006,G_PMax_Padel_Tier3,Cross-network,google,1,1,1229,10,12.703077,17.6335229645541,0.008136696501220505
2025-05-05,21934847264,(not set),Paid Shopping,google,0,0,428,0,0.0,0.0,0.0
2025-05-05,21938652714,(not set),Display,google,0,0,4,0,0.0,0.0,0.0
2025-05-04,21938652714,G_Search_Brand,Paid Search,google,3,3,206,30,9.571144,20.8950988512971,0.14563106796116504
2025-05-04,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,2,2,0,0,0.0,0.0,0.0
2025-05-04,(not set),(direct),Direct,(direct),1,1,0,0,0.0,0.0,0.0
2025-05-04,01JQZGNCBWVN81ZJKVR4QCR6KK,Volair 2025,Email,email,1,1,0,0,0.0,0.0,0.0
2025-05-04,21964162006,(not set),Cross-network,google,0,0,466,4,1.76,0.0,0.008583690987124463
2025-05-04,21964277743,(not set),Paid Shopping,google,0,0,317,0,0.0,0.0,0.0
2025-05-04,22354251261,(not set),Cross-network,google,0,0,74,1,0.278261,0.0,0.013513513513513514
2025-05-03,(not set),(direct),Direct,(direct),45,45,0,0,0.0,0.0,0.0
2025-05-03,(not set),(organic),Organic Search,google,4,6,0,0,0.0,0.0,0.0
2025-05-03,(not set),(not set),Unassigned,(not set),1,1,0,0,0.0,0.0,0.0
2025-05-03,(not set),(referral),Referral,dealspotr.com,1,1,0,0,0.0,0.0,0.0
2025-05-03,(not set),(referral),Referral,racket-central.tenereteam.com,1,1,0,0,0.0,0.0,0.0
2025-05-03,UgGuia,Email #1 | Seguinos en redes,Email,email,1,1,0,0,0.0,0.0,0.0
2025-05-03,21938652714,(not set),Paid Search,google,0,0,14,0,0.0,0.0,0.0
2025-05-03,22354251261,(not set),Cross-network,google,0,0,38,5,5.021697,0.0,0.13157894736842105
2025-05-03,22377170377,(not set),Cross-network,google,0,0,124,2,0.802404,0.0,0.016129032258064516
2025-05-03,22377183748,(not set),Cross-network,google,0,0,480,5,3.81,0.0,0.010416666666666666
2025-05-02,21938652714,G_Search_Brand,Paid Search,google,6,10,104,20,10.716914,8.86355904320964,0.19230769230769232
2025-05-02,(not set),(not set),Unassigned,(not set),1,1,0,0,0.0,0.0,0.0
2025-05-02,(not set),(not set),Unassigned,chatgpt.com,1,1,0,0,0.0,0.0,0.0
2025-05-02,(not set),(organic),Organic Search,google,1,4,0,0,0.0,0.0,0.0
2025-05-02,22354251261,G_PMAX_Pickleball_Sale_Tier2_Mar25,Cross-network,google,1,1,35,2,1.925896,0.0,0.05714285714285714
2025-05-02,22377170377,G_PMAX_Pickleball_Sale_Tier3_Mar25,Cross-network,google,1,2,63,2,2.339952,150.139831928176,0.031746031746031744
2025-05-02,21934847264,(not set),Paid Shopping,google,0,0,5144,30,10.825735,0.0,0.00583203732503888
2025-05-02,21938652714,(not set),Paid Search,google,0,0,49,0,0.0,0.0,0.0
2025-05-02,21964277743,(not set),Paid Shopping,google,0,0,299,0,0.0,0.0,0.0
2025-05-01,(not set),(organic),Organic Search,google,5,7,0,0,0.0,0.0,0.0
